0.468683 (0.032359) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.446179 (0.067744) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.465604 (0.054086) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.468126 (0.047318) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.457577 (0.043957) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.477812 (0.036748) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.425960 (0.064847) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.426826 (0.076249) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.386592 (0.074826) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.435082 (0.075653) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.455876 (0.061612) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.457598 (0.071055) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.458460 (0.072437) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.438430 (0.042356) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.448180 (0.052069) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.428971 (0.041869) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.454259 (0.047186) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.452043 (0.060763) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.433717 (0.078718) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.481176 (0.044121) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.461505 (0.073369) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.419322 (0.074052) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.402701 (0.088165) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.408441 (0.088816) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.423176 (0.067071) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.417338 (0.086306) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.418198 (0.071406) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.424511 (0.084201) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.462568 (0.061075) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.435093 (0.076777) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.439047 (0.095264) with: {'batch_size': 40, 'epochs': 200, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.490586 (0.052181) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.478088 (0.028223) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.470619 (0.042919) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.485598 (0.057382) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.483368 (0.034921) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.466479 (0.073894) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.482520 (0.032079) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.474524 (0.062552) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.451734 (0.070867) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.452570 (0.060850) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.474453 (0.044472) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.449544 (0.076388) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.493908 (0.019321) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.467246 (0.044240) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.448704 (0.045587) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.465072 (0.046886) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.475618 (0.051313) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.479448 (0.042625) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.460894 (0.032039) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.456495 (0.052734) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.470924 (0.062403) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.456223 (0.054022) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.455317 (0.060100) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.462018 (0.046384) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.465049 (0.041101) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.459795 (0.054530) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.476183 (0.057386) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.464784 (0.042171) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.435090 (0.070159) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.462838 (0.039876) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.439818 (0.068484) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.460941 (0.054672) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.464758 (0.057027) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.447031 (0.070355) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.457030 (0.051815) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.488628 (0.029374) with: {'batch_size': 80, 'epochs': 100, 'model__neurons': 200, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.488073 (0.032725) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.475319 (0.036557) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.496687 (0.032041) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.476167 (0.053784) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.465872 (0.072513) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.504731 (0.032932) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.470602 (0.060793) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.481958 (0.061508) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.477842 (0.043801) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 50, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.466757 (0.056983) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.486150 (0.049460) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.469472 (0.051814) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.468440 (0.072755) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.448439 (0.047774) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.435152 (0.063558) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.480296 (0.047007) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.476412 (0.055529) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
0.471697 (0.047400) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 100, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.8}
0.460137 (0.084189) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.0}
0.462826 (0.053045) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.4}
0.445636 (0.054294) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.001, 'optimizer__momentum': 0.8}
0.448623 (0.075294) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.0}
0.434281 (0.043181) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.4}
0.463146 (0.055013) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.01, 'optimizer__momentum': 0.8}
0.484765 (0.052378) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.0}
0.440376 (0.049243) with: {'batch_size': 80, 'epochs': 200, 'model__neurons': 150, 'optimizer__learning_rate': 0.15, 'optimizer__momentum': 0.4}
